video_id,title,channel_title,view_count,like_count,comment_count,duration_seconds,published_at,chunk_index,chunk_text
t8txtQkhMcY,scientists cant explain whats happening on this mountain in tibet,BRIGHT SIDE,7095,202,3,14366,2025-10-28T06:45:00Z,0,scientists cant explain whats happening on this mountain in tibet  high in tibet stands a mountain no one has ever conquered  mount kailash
mmIidOoHCfs,138 million pirate treasure found on the ocean floor,BRIGHT SIDE,4179,63,5,530,2025-10-22T20:00:41Z,0,138 million pirate treasure found on the ocean floor  a team of explorers just uncovered a real pirate treasure worth 138 million  hidden for centuries beneath
