id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
SzQQMElyhzo,Rivians FINALLY Have This Feature!,"Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-07-08T19:32:34Z,,2,en,en,https://i.ytimg.com/vi/SzQQMElyhzo/default.jpg,https://i.ytimg.com/vi/SzQQMElyhzo/hqdefault.jpg,PT1M23S,220614,8423,196,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
LckcXDqLtVA,Rivian R1T Quad Gen 2  - The Perfect Upgrade?,"The Rivian R1T Gen-2 Quad Motor is a Beast!

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-07-08T13:59:50Z,,2,en,en,https://i.ytimg.com/vi/LckcXDqLtVA/default.jpg,https://i.ytimg.com/vi/LckcXDqLtVA/hqdefault.jpg,PT19M48S,530922,16814,972,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
wDzi0-S9Bpo,My Next Daily Driver? - 911 GTS T-Hybrid,"The Porsche 911 992.2 GTS is a Hybrid! But barely...

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-06-30T15:30:30Z,,2,en,en,https://i.ytimg.com/vi/wDzi0-S9Bpo/default.jpg,https://i.ytimg.com/vi/wDzi0-S9Bpo/hqdefault.jpg,PT8M53S,677293,20836,1002,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
5CIJ_zk7DR4,Hyundai Ioniq 9 - A Killer 3-Row with NACS!,"Maybe the best ""value"" electric 3-row under $80k....

Hyundai Ioniq 9: https://geni.us/gnglv

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-06-24T15:28:59Z,,2,en,en,https://i.ytimg.com/vi/5CIJ_zk7DR4/default.jpg,https://i.ytimg.com/vi/5CIJ_zk7DR4/hqdefault.jpg,PT14M44S,841077,17893,1671,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
FVSH4dedp5U,Lamborghini Urus SE has more Drives Modes than MPG.,"Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-06-12T21:43:50Z,,2,en,en,https://i.ytimg.com/vi/FVSH4dedp5U/default.jpg,https://i.ytimg.com/vi/FVSH4dedp5U/hqdefault.jpg,PT1M14S,331785,13871,202,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
j0HzOAsVBqU,I Still Love the Ugliest BMW,"Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-06-06T23:08:04Z,,2,en,en,https://i.ytimg.com/vi/j0HzOAsVBqU/default.jpg,https://i.ytimg.com/vi/j0HzOAsVBqU/hqdefault.jpg,PT1M17S,618582,14812,628,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
4p1f3KA_O2o,Cadillac Optiq - Loads of Luxury with a Huge Asterisk!,"The Cadillac Optiq does the whole luxury thing pretty well!

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-05-20T20:18:14Z,,2,en,en,https://i.ytimg.com/vi/4p1f3KA_O2o/default.jpg,https://i.ytimg.com/vi/4p1f3KA_O2o/hqdefault.jpg,PT10M7S,377165,11892,865,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
vXSd4OYyksc,The Electric MINI Maxes out on Quirks!,"The MINI Countryman SE has some interesting quir.....

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-05-15T21:03:43Z,,2,en,en,https://i.ytimg.com/vi/vXSd4OYyksc/default.jpg,https://i.ytimg.com/vi/vXSd4OYyksc/hqdefault.jpg,PT13M31S,449119,13702,934,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
iwyyJwJQgGI,Hybrids aren't always the answer?,"The V8-version of the Lexus LC500 is better than the Hybrid in more ways than one.

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-05-05T19:08:40Z,,2,en,en,https://i.ytimg.com/vi/iwyyJwJQgGI/default.jpg,https://i.ytimg.com/vi/iwyyJwJQgGI/hqdefault.jpg,PT1M,527384,27628,446,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
2TBWVwTn9WM,You could wait for the Rivian R3X or...,"Volvo is back with another sleeper hit in the form of the EX30.

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-05-02T19:39:53Z,,2,en,en,https://i.ytimg.com/vi/2TBWVwTn9WM/default.jpg,https://i.ytimg.com/vi/2TBWVwTn9WM/hqdefault.jpg,PT14M24S,753444,18991,2085,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
